8.167%;7.94%;9.986%
1.492%;1.886%;1.482%
2.782%;2.732%;4.436%
4.253%;5.076%;3.293%
12.702%;16.396%;9.052%
2.228%;1.656%;0.312%
2.015%;3.009%;1.377%
6.094%;4.577%;1.072%
6.966%;6.550%;8.286%
0.253%;0.268%;2.343%
1.772%;1.417%;3.411%
4.025%;3.437%;3.882%
2.406%;2.534%;2.911%
6.749%;9.776%;5.785%
7.507%;3.037%;8.413%
1.929%;0.670%;3.101%
0.095%;0.018%;0.003%
5.987%;7.003%;4.571%
6.327%;7.577%;4.946%
9.056%;6.154%;3.966%
2.758%;5.161%;2.347%
0.978%;0.846%;0.034%
2.360%;1.921%;4.549%
0.250%;0.034%;0.019%
1.974%;0.039%;3.857%
0.074%;1.134%;6.566%